img_src,info,brand,price,type
https://m.media-amazon.com/images/I/91LSPUKRphL._AC_UL436_.jpg,Canon T6 Digital SLR Camera Kit with EF-S 18-55mm Lens (Black) with Free SanDisk Ultra 32GB SDHC Card,by CANON(R),$419.00 ,Camera
https://m.media-amazon.com/images/I/91zOjt8tf8L._AC_UL436_.jpg,Nikon D750 FX-format Digital SLR Camera Body,by Nikon,"$1,396.95 ",Camera
https://m.media-amazon.com/images/I/917LEZ+it3L._AC_UL436_.jpg,"PANASONIC LUMIX FZ80 4K 60X Zoom Camera, 18.1 Megapixels, DC VARIO 20-1200mm Lens, F2.8-5.9, 4K 30p Video, Power O.I.S., WiFi – DC-FZ80K (USA BLACK)",by Panasonic,$297.99 ,Camera
https://m.media-amazon.com/images/I/81umjxv58PL._AC_UL436_.jpg,Canon EOS 6D Mark II Digital SLR Camera Body – Wi-Fi Enabled,by Canon,"$1,599.00 ",Camera
https://m.media-amazon.com/images/I/81MK3mB6XIL._AC_UL436_.jpg,Canon PowerShot SX720 HS (Black),by Canon,$242.00 ,Camera
https://m.media-amazon.com/images/I/81VfdsWEk5L._AC_UL436_.jpg,Canon Digital SLR Camera Body [EOS 80D] with 24.2 Megapixel (APS-C) CMOS Sensor and Dual Pixel CMOS AF - Black,by Canon,$999.00 ,Camera
https://m.media-amazon.com/images/I/81-AIGpj4jL._AC_UL436_.jpg,Canon EOS Rebel T6 DSLR Camera with 18-55mm IS II Lens Bundle + Canon EF 75-300mm f/4-5.6 III Lens and 500mm Preset Lens + 32GB Memory + Filters + Monopod + Spider Tripod + Professional Bundle,by Canon,$579.00 ,Camera
https://m.media-amazon.com/images/I/91y9s1VnzZL._AC_UL436_.jpg,Fujifilm X100F 24.3 MP APS-C Digital Camera-Silver,by Fujifilm,"$1,199.00 ",Camera
https://m.media-amazon.com/images/I/71SpuPWq4hL._AC_UL436_.jpg,Waterproof Digital Camera 1080P Full HD Underwater Camera 24 MP Video Recorder Selfie Dual Screen DV Recording Waterproof Camera,by YISENCE,$79.99 ,Camera
https://m.media-amazon.com/images/I/41TNRiONYJL._AC_UL436_.jpg,"Sony Alpha a6500 Mirrorless Digital Camera w/ 2.95"" LCD (Body Only)",by Sony,"$1,198.00 ",Camera
https://m.media-amazon.com/images/I/71WNjahq67L._AC_UL436_.jpg,Canon T6 EOS Rebel DSLR Camera with EF-S 18-55mm f/3.5-5.6 IS II and EF 75-300mm f/4-5.6 III Lens and SanDisk Memory Cards 16GB 2 Pack Plus Triple Battery Accessory Bundle,by Canon,$499.00 ,Camera
https://m.media-amazon.com/images/I/71Uni50dFzL._AC_UL436_.jpg,Canon PowerShot ELPH 180 20MP 8X Zoom Digital Camera (Silver) + 32GB Card + Reader + Case + Accessory Bundle,by The Imaging World,$159.99 ,Camera
https://m.media-amazon.com/images/I/81LSXTzgjOL._AC_UL436_.jpg,Canon EOS 7D Mark II Digital SLR Camera (Body Only),by Canon,"$1,063.00 ",Camera
https://m.media-amazon.com/images/I/81xVbbwlqlL._AC_UL436_.jpg,"PANASONIC LUMIX FZ300, 12.1 Megapixel, 1/2.3-inch Sensor, 4K Video, WiFi, Splash & Dustproof Body, Leica DC 24X F2.8 Zoom Lens (USA Black)",by Panasonic,$397.99 ,Camera
https://m.media-amazon.com/images/I/713X8t50bEL._AC_UL436_.jpg,Nikon D3400 Digital SLR Camera & 18-55mm VR DX AF-P Zoom Lens (Black) - (Certified Refurbished),by Nikon,$384.00 ,Camera
https://m.media-amazon.com/images/I/81uZfjAviHL._AC_UL436_.jpg,"PANASONIC LUMIX GH5 Body 4K Mirrorless Camera, 20.3 Megapixels, Dual I.S. 2.0, 4K 422 10-bit, Full Size HDMI Out, 3 Inch Touch LCD, DC-GH5KBODY (USA Black)",by Panasonic,"$1,697.99 ",Camera
https://m.media-amazon.com/images/I/71DXSTVy75L._AC_UL436_.jpg,"Canon PowerShot SX740 Digital Camera w/40x Optical Zoom & 3 Inch Tilt LCD - 4K VIdeo, Wi-Fi, NFC, Bluetooth Enabled (Black)",by Canon,$399.00 ,Camera
https://m.media-amazon.com/images/I/61fIEs7CAuL._AC_UL436_.jpg,Sony (DSCW800) 20.1 MP Digital Camera (Silver),by Sony,$90.00 ,Camera
https://m.media-amazon.com/images/I/61O+EY7LEKL._AC_UL436_.jpg,Canon Digital SLR Camera Kit [EOS Rebel T6] with EF-S 18-55mm and EF 75-300mm Zoom Lenses - Black,by Canon,$499.00 ,Camera
https://m.media-amazon.com/images/I/814SoIrAbOL._AC_UL436_.jpg,Canon G7X Mark II Digital Camera - Wi-Fi & NFC Enabled (Black) with Free SanDisk Ultra 32GB SDHC Class 10 Card,by CANON(R),$539.00 ,Camera
https://m.media-amazon.com/images/I/81O7rKrUbcL._AC_UL436_.jpg,D5600 DX-Format Digital SLR Body,by Nikon,$596.95 ,Camera
https://m.media-amazon.com/images/I/81-rf9B7cML._AC_UL436_.jpg,"Sony a7R II Full-Frame Mirrorless Interchangeable Lens Camera, Body Only (Black) (ILCE7RM2/B)",by Sony,"$1,998.00 ",Camera
https://m.media-amazon.com/images/I/81-MwYb0aDL._AC_UL436_.jpg,Canon Powershot SX420 IS 20 MP Wi-Fi Digital Camera with 42x Zoom (Black) Includes: Canon NB-11LH Battery & Canon Charger + 9pc 32GB Deluxe Accessory Kit w/HeroFiber Cloth,by HeroFiber,$249.95 ,Camera
https://m.media-amazon.com/images/I/813X74rfb1L._AC_UL436_.jpg,Nikon D7500 DX-Format Digital SLR Body,by Nikon,"$1,146.95 ",Camera
https://m.media-amazon.com/images/I/81IXGbHS+LL._AC_UL436_.jpg,Nikon COOLPIX P900 Digital Camera with 83x Optical Zoom and Built-In Wi-Fi(Black),by Nikon,$596.95 ,Camera
https://m.media-amazon.com/images/I/71mUA9Ojp6L._AC_UL436_.jpg,"PANASONIC LUMIX G7 4K Mirrorless Camera, with 14-42mm MEGA O.I.S. Lens, 16 Megapixels, 3 Inch Touch LCD, DMC-G7KK (USA BLACK)",by Panasonic,$497.99 ,Camera
